semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
816499	-0.5	10	400	5	149050000
231323	-0.5	10	400	5	153350000
419791	-0.5	10	400	5	158610000
260873	-0.5	10	200	5	144420000
189913	-0.5	10	200	5	164450000
816499	-0.5	10	200	5	144530000
231323	-0.5	10	200	5	147060000
419791	-0.5	10	200	5	158480000
260873	-0.5	10	100	5	139970000
189913	-0.5	10	100	5	160030000
816499	-0.5	10	100	5	141640000
231323	-0.5	10	100	5	140970000
419791	-0.5	10	100	5	157350000
260873	-0.5	10	50	5	139380000
189913	-0.5	10	50	5	158750000
816499	-0.5	10	50	5	139230000
231323	-0.5	10	50	5	138750000
419791	-0.5	10	50	5	148880000
260873	-0.5	10	20	5	126110000
189913	-0.5	10	20	5	154100000
816499	-0.5	10	20	5	131070000
231323	-0.5	10	20	5	130310000
419791	-0.5	10	20	5	144260000
260873	-0.5	10	10	5	121570000
189913	-0.5	10	10	5	148530000
816499	-0.5	10	10	5	127510000
231323	-0.5	10	10	5	128180000
419791	-0.5	10	10	5	142380000
260873	-0.5	12	1000	5	153290000
189913	-0.5	12	1000	5	162060000
816499	-0.5	12	1000	5	157120000
231323	-0.5	12	1000	5	151130000
419791	-0.5	12	1000	5	169420000
260873	-0.5	12	800	5	153220000
189913	-0.5	12	800	5	165200000
816499	-0.5	12	800	5	155650000
231323	-0.5	12	800	5	148700000
419791	-0.5	12	800	5	173970000
260873	-0.5	12	600	5	156180000
189913	-0.5	12	600	5	169100000
816499	-0.5	12	600	5	159660000
231323	-0.5	12	600	5	147070000
419791	-0.5	12	600	5	175110000
260873	-0.5	12	400	5	155690000
189913	-0.5	12	400	5	162680000
816499	-0.5	12	400	5	159650000
231323	-0.5	12	400	5	142230000
419791	-0.5	12	400	5	166820000
260873	-0.5	12	200	5	148380000
189913	-0.5	12	200	5	162480000
816499	-0.5	12	200	5	155790000
231323	-0.5	12	200	5	137300000
419791	-0.5	12	200	5	165960000
260873	-0.5	12	100	5	144240000
189913	-0.5	12	100	5	152390000
816499	-0.5	12	100	5	151040000
231323	-0.5	12	100	5	125900000
419791	-0.5	12	100	5	165430000
260873	-0.5	12	50	5	137180000
189913	-0.5	12	50	5	143760000
816499	-0.5	12	50	5	143360000
231323	-0.5	12	50	5	116310000
419791	-0.5	12	50	5	155120000
260873	-0.5	12	20	5	122250000
189913	-0.5	12	20	5	134580000
816499	-0.5	12	20	5	126270000
231323	-0.5	12	20	5	105010000
419791	-0.5	12	20	5	146740000
260873	-0.5	12	10	5	114700000
189913	-0.5	12	10	5	123310000
816499	-0.5	12	10	5	121440000
231323	-0.5	12	10	5	97110000
419791	-0.5	12	10	5	144400000
260873	-0.5	14	1000	5	1.49e+08
189913	-0.5	14	1000	5	162480000
816499	-0.5	14	1000	5	160400000
231323	-0.5	14	1000	5	150910000
419791	-0.5	14	1000	5	160750000
260873	-0.5	14	800	5	146680000
189913	-0.5	14	800	5	165620000
816499	-0.5	14	800	5	158930000
231323	-0.5	14	800	5	148480000
419791	-0.5	14	800	5	165240000
260873	-0.5	14	600	5	149640000
189913	-0.5	14	600	5	169160000
816499	-0.5	14	600	5	162850000
231323	-0.5	14	600	5	146710000
419791	-0.5	14	600	5	165890000
260873	-0.5	14	400	5	145620000
189913	-0.5	14	400	5	162570000
816499	-0.5	14	400	5	1.58e+08
231323	-0.5	14	400	5	141760000
419791	-0.5	14	400	5	154420000
260873	-0.5	14	200	5	139050000
189913	-0.5	14	200	5	159450000
816499	-0.5	14	200	5	155430000
231323	-0.5	14	200	5	135320000
419791	-0.5	14	200	5	153420000
260873	-0.5	14	100	5	132710000
189913	-0.5	14	100	5	142210000
816499	-0.5	14	100	5	150690000
231323	-0.5	14	100	5	124320000
419791	-0.5	14	100	5	154030000
260873	-0.5	14	50	5	122870000
189913	-0.5	14	50	5	130260000
816499	-0.5	14	50	5	144180000
231323	-0.5	14	50	5	113320000
419791	-0.5	14	50	5	138720000
260873	-0.5	14	20	5	105330000
189913	-0.5	14	20	5	117110000
816499	-0.5	14	20	5	124050000
231323	-0.5	14	20	5	98170000
419791	-0.5	14	20	5	123760000
260873	-0.5	14	10	5	93830000
189913	-0.5	14	10	5	98650000
816499	-0.5	14	10	5	116180000
231323	-0.5	14	10	5	86230000
419791	-0.5	14	10	5	113900000
