Feature	Gain	Cover	Frequency
ctarjeta_debito_transacciones	0.0041812376329343	0.0146753930599791	0.0228790977257235
mttarjeta_visa_debitos_automaticos	0.00407476606953274	0.00588103244728006	0.0092954080684142
ccaja_seguridad	0.00397376275714431	0.0105804746740746	0.00231765507839128
cdescubierto_preacordado	0.00374286789898614	0.00712387168548642	0.00190865712338105
mtransferencias_emitidas	0.00356625851949087	0.00766382040085144	0.0115634876371073
ccajas_consultas	0.00353637796174382	0.008701403644392	0.00182189998140918
ctarjeta_visa	0.00337125833925051	0.00107961845073145	0.000743632645473136
mpagomiscuentas	0.00330240701524133	0.0089027755712565	0.00824192848732726
mextraccion_autoservicio	0.00312301821331788	0.00593710576144488	0.0102497366301047
ctransferencias_recibidas	0.00299072110167032	0.00400535081638637	0.00778335502261883
Master_msaldototal	0.00294603067818385	0.00423561174668718	0.00494515709239636
cextraccion_autoservicio	0.00290007512245269	0.00717001914113416	0.00640763462849353
ccallcenter_transacciones	0.00288763315912263	0.00533080644187735	0.0030117122141662
Visa_mconsumosdolares	0.00288455801619154	0.00642866435508392	0.0054780938216521
Visa_mconsumototal	0.00283391600022565	0.0040998067817008	0.00623412034454979
Master_mpagospesos	0.00281731929603904	0.00531184746083869	0.00521782239573651
thomebanking	0.00275203611010526	0.00167624840682538	0.00290016731734523
ctarjeta_debito	0.00267051975571484	0.0032479584279096	0.00442461424056516
ctransferencias_emitidas	0.00264171324293163	0.0130027064365985	0.00831629175187458
ccajas_transacciones	0.00254444782877828	0.00222249873905413	0.00114023672305881
ctarjeta_visa_debitos_automaticos	0.00250811117561494	0.00681080782605118	0.00563921422817128
Visa_msaldodolares	0.00248914044213551	0.00832290690003321	0.00308607547871352
ccaja_ahorro	0.00248522631205759	0.0120982091440282	0.00317283262068538
ccajas_otras	0.00238267440679777	0.0109961948452306	0.00173514283943732
mtarjeta_master_consumo	0.00218839170795958	0.00321309175751837	0.0029869244593171
cpagomiscuentas	0.00194503082581812	0.0078429863526041	0.00496994484724546
tmobile_app	0.00186896426922806	0.00812663322854598	0.00158641631034269
Master_mconsumospesos	0.00181950534570817	0.0041079146899584	0.0043874326082915
Master_mpagominimo	0.00177809577723837	0.00264889426723093	0.00342071016917643
mplazo_fijo_dolares	0.00177628309116914	0.0118361161794999	0.00208217140732478
cmobile_app_trx	0.00170106753502341	0.00168142161205301	0.00280101629794881
Master_cconsumos	0.00142074797237328	0.00588128061456239	0.00294974282704344
Master_fultimo_cierre	0.00140131177190286	0.00292375785348579	0.00309846935613807
catm_trx	0.00136036537014048	0.00360027019287814	0.00369337547251658
ccuenta_debitos_automaticos	0.00127074803688179	0.00372064631477819	0.00661833054471091
Visa_fultimo_cierre	0.00119499005998227	0.00118758537573889	0.00206977752990023
matm	0.00119436711588415	0.00321314755351809	0.00452376525996158
Visa_mpagosdolares	0.00111666077927175	0.00573016006404135	0.0021813224267212
Visa_mpagado	0.00110127054210449	0.003530965731795	0.00182189998140918
ctarjeta_master_transacciones	0.00108182722040321	0.00141206434147186	0.00182189998140918
Master_mconsumototal	0.000704280127437934	0.0010254063911841	0.00159881018776724
mttarjeta_master_debitos_automaticos	0.000645660346352685	0.00204334777727154	0.00145008365867262
cseguro_vivienda	0.000540879615642618	0.00227165085092551	0.000768420400322241
cplazo_fijo	0.000515106812336382	0.00751076697696701	0.000842783664869554
minversion2	0.000510164730513278	0.00860975580013803	0.000991510193964182
matm_other	0.000484563987765839	0.00132997510146817	0.00152444692321993
Master_mpagosdolares	0.000460885854928169	0.000570649839628015	0.000793208155171345
cseguro_accidentes_personales	0.000452033090075879	0.00223901935162748	0.00141290202639896
Master_mconsumosdolares	0.000365261071316049	0.000344885900349289	0.000644481626076718
mtarjeta_visa_descuentos	0.000357053303537694	0.0056852884214021	0.000768420400322241
mcheques_emitidos	0.00030684792808373	0.00482384149010709	0.000495755096982091
Visa_delinquency	0.000287134894902478	0.00199735854908569	0.00126417549730433
ccajas_depositos	0.000262598368427711	0.00693407201551876	0.000644481626076718
ccheques_emitidos	0.000252595828404237	0.00411716017038936	0.00043378570985933
ccajas_extracciones	0.000204912688389876	0.00105266898286743	0.00043378570985933
catm_trx_other	0.00017729610188305	0.000552474500913756	0.000570118361529405
Master_mpagado	0.000165180380337706	0.000447284884250503	0.000371816322736568
active_quarter	0.000131191624496434	7.56743655883032e-05	0.000247877548491045
mprestamos_prendarios	0.00013115048781012	0.00380947271355386	0.000371816322736568
ctarjeta_master_debitos_automaticos	0.000118592373691975	0.000174803870461239	0.000247877548491045
mtarjeta_master_descuentos	0.000109288278705193	0.0022547871345927	0.000235483671066493
Visa_madelantopesos	0.000103227819559184	0.000150276948316343	0.000136332651670075
cseguro_vida	8.24313962913881e-05	0.00043581006215915	0.000210695916217389
cinversion2	8.18116119836053e-05	0.000658870810167934	0.00016112040651918
Master_msaldodolares	6.8830268472804e-05	0.000622275296561547	0.000260271425915598
mcheques_depositados	6.22414127317244e-05	0.000669823481635056	0.00016112040651918
ctarjeta_visa_descuentos	5.54395611128899e-05	0.000241487585109834	0.000136332651670075
mcaja_ahorro_adicional	5.01671108850415e-05	0.000620174202422895	0.00011154489682097
cprestamos_prendarios	4.71378402489301e-05	0.000459010371952532	7.43632645473136e-05
minversion1_pesos	3.81724952951654e-05	0.00124988952079765	0.000520542851831195
Master_delinquency	3.05847565122669e-05	9.18327205515457e-05	7.43632645473136e-05
Visa_Finiciomora	2.79049035846382e-05	0.000771069070616717	7.43632645473136e-05
ctarjeta_master_descuentos	9.96872249141258e-06	0.00017706652316624	6.19693871227614e-05
ccheques_depositados	7.83492831064663e-06	0.000167330537603426	2.47877548491045e-05
Master_madelantodolares	7.71636433197245e-06	5.71367692639318e-06	3.71816322736568e-05
cseguro_auto	4.46858181956506e-06	0.000100710946715702	1.23938774245523e-05
Visa_cadelantosefectivo	3.26721091738765e-06	1.99916234215121e-05	3.71816322736568e-05
cinversion1	2.46466546442864e-06	7.37822982545668e-05	4.95755096982091e-05
mforex_sell	2.2154193696228e-06	0.000105914131883477	4.95755096982091e-05
Visa_madelantodolares	2.12891996553841e-06	9.05244292745651e-05	0.000123938774245523
Master_madelantopesos	1.5271995746605e-06	1.34385081709965e-05	6.19693871227614e-05
ccajeros_propios_descuentos	5.7208609022494e-07	2.30853866894834e-05	1.23938774245523e-05
cforex_sell	4.38586327346015e-07	3.38515163068002e-05	1.23938774245523e-05
Master_cadelantosefectivo	2.21982021882798e-10	1.49400035067036e-05	4.95755096982091e-05
